Dist Code,Year,State Code,State Name,Dist Name,yield_kg_per_ha,rainfall_kharif_mm,rainfall_anomaly,tmax_kharif_mean_c,tmin_kharif_mean_c,temp_kharif_mean_c,temp_anomaly,extreme_heat_days,extreme_heat_anomaly,max_dry_spell_days,dry_spell_anomaly,rice_irrigated_area_1000ha,irrigation_share,lagged_yield,rice_area_1000ha
709,2003,8,Orissa,Mayurbhanja,1457.0,1335.7814,0.115955055,32.402809143066406,25.0405216217041,28.721664428710938,0.6371819366009431,17,0.5016402490599752,7,-1.0840018228943942,93.64,0.27470883327954937,815.0,340.87
709,2004,8,Orissa,Mayurbhanja,1507.0,1204.2344,-0.3996377,32.27359771728516,24.311635971069336,28.29261779785156,-0.5016487975376782,19,0.7585779376028893,16,0.3097148065412555,93.95,0.2890146737625742,1457.0,325.07
709,2005,8,Orissa,Mayurbhanja,1493.0,1462.1536,0.61126536,32.724117279052734,25.12895393371582,28.9265365600586,1.1809798899373327,27,1.7863286917745456,15,0.1548574032706277,95.65,0.30237410299370915,1507.0,316.33
709,2006,8,Orissa,Mayurbhanja,1579.0,1636.2407,1.2935925,32.470001220703125,24.43777847290039,28.45388984680176,-0.0735797889683174,13,-0.012235128025853,26,1.858288839247533,100.65,0.31703783034617444,1493.0,317.47
709,2007,8,Orissa,Mayurbhanja,1667.0,1782.4263,1.8665603,32.219017028808594,25.060327529907227,28.6396713256836,0.4195452999307212,12,-0.14070397229731,26,1.858288839247533,104.75,0.30379930394431554,1579.0,344.8
709,2008,8,Orissa,Mayurbhanja,1572.0,1547.3295,0.94510865,31.99960708618164,24.64431381225586,28.32196044921875,-0.423763759421567,4,-1.1684547264689664,24,1.5485740327062776,103.05,0.2985312436629103,1667.0,345.19
709,2009,8,Orissa,Mayurbhanja,1396.0,1158.1698,-0.5801858,33.1356201171875,24.94980430603028,29.042713165283203,1.4893507734300182,26,1.6578598475030886,23,1.3937166294356498,101.85,0.30993244476903414,1572.0,328.62
709,2010,8,Orissa,Mayurbhanja,932.0,855.6271,-1.765989,33.16575241088867,25.38823509216309,29.27699279785156,2.1112058977020305,22,1.1439844704172604,8,-0.9291444196237664,101.45,0.3564276429048238,1396.0,284.63
709,2011,8,Orissa,Mayurbhanja,1884.0,1449.2568,0.5607172,32.39451217651367,24.6716365814209,28.53307342529297,0.1365994464314369,15,0.244702560517061,28,2.1680036457887883,106.17,0.3548343972460814,932.0,299.21
709,2012,8,Orissa,Mayurbhanja,1726.0,1073.3431,-0.91266024,33.09052276611328,24.878236770629883,28.984378814697266,1.3345122395153757,21,1.0155156261458034,17,0.4645722098118832,106.74,0.37148922841332266,1884.0,287.33
709,2013,8,Orissa,Mayurbhanja,1390.0,1845.2844,2.1129303,32.11653518676758,24.90098190307617,28.508758544921875,0.0720597645603978,9,-0.5261105051116812,7,-1.0840018228943942,110.16,0.36097912638857027,1726.0,305.17
709,2014,8,Orissa,Mayurbhanja,2176.0,1368.9454,0.24594016,32.90732955932617,24.89443588256836,28.900882720947266,1.1128861716155791,26,1.6578598475030886,18,0.619429613082511,118.44,0.37485757690846944,1390.0,315.96
709,2015,8,Orissa,Mayurbhanja,984.0,1006.1651,-1.1759616,33.281864166259766,25.001821517944336,29.14184188842773,1.7524709763011763,17,0.5016402490599752,14,0.0,109.32,0.3437411564946703,2176.0,318.03
709,2016,8,Orissa,Mayurbhanja,2358.0,1155.7827,-0.58954185,32.58019256591797,24.77414321899414,28.67716789245605,0.5190735087401342,11,-0.269172816568767,16,0.3097148065412555,113.71,0.3707894479407832,984.0,306.67
709,2017,8,Orissa,Mayurbhanja,2023.0,1216.8788,-0.3500785,32.878421783447266,25.15842056274414,29.018421173095703,1.42487184431882,17,0.5016402490599752,10,-0.619429613082511,118.39,0.3652997624116758,2358.0,324.09
709,2018,8,Orissa,Mayurbhanja,2021.0,1436.7772,0.5118039,32.76475143432617,24.743120193481445,28.753936767578125,0.7228433279766869,21,1.0155156261458034,18,0.619429613082511,42.445,0.12606177606177607,2023.0,336.7
709,2019,8,Orissa,Mayurbhanja,2220.0,1284.8284,-0.08375303,32.75862121582031,25.10171890258789,28.9301700592041,1.1906243905620653,31,2.3002040688603738,6,-1.238859226165022,53.612,0.1665796669152374,2021.0,321.84
1019,1995,9,Punjab,Moga,3685.0,341.02933,0.11124453,35.25235366821289,23.53196144104004,29.39215850830078,0.6488647103600513,62,-0.4687118576833251,57,1.3677424936292188,108.4,1.0,,108.0
1019,1996,9,Punjab,Moga,3794.0,404.60294,0.50861144,34.15411376953125,22.703594207763672,28.42885398864746,-1.7243038483421884,54,-1.093661001261092,27,-0.9801533401212116,102.4,1.0,3685.0,102.0
1019,1997,9,Punjab,Moga,4009.0,337.4372,0.0887919,33.75026321411133,22.8056869506836,28.27797508239746,-2.0960046648324338,54,-1.093661001261092,35,-0.3540477844544301,107.5,1.0,3794.0,107.0
1019,1998,9,Punjab,Moga,3500.0,174.4964,-0.9296697,34.968040466308594,23.94477081298828,29.45640563964844,0.8071420452945441,79,0.8593050724194294,39,-0.0409950066210393,118.0,1.0,4009.0,118.0
1019,1999,9,Punjab,Moga,3359.0,114.09316,-1.3072201,35.04058837890625,23.413204193115234,29.226896286010746,0.2417295813552396,68,0.0,32,-0.5888373678294732,116.71,0.9975213675213674,3500.0,117.0
1019,2000,9,Punjab,Moga,3748.0,113.282974,-1.3122842,34.917842864990234,23.366470336914062,29.14215660095215,0.0329673964463941,69,0.0781186429472208,40,0.0372681878373082,159.45,1.0,3359.0,159.0
1019,2001,9,Punjab,Moga,3809.0,203.77559,-0.74666005,35.144901275634766,23.519607543945312,29.33225440979004,0.5012867428298489,80,0.9374237153666504,78,3.01126957725452,151.67,0.997828947368421,3748.0,152.0
1019,2002,9,Punjab,Moga,3812.0,352.606,0.18360445,35.38019561767578,23.71647071838379,29.54833221435547,1.0336096392412877,81,1.0155423583138712,44,0.350320965670699,149.31,1.0,3809.0,149.0
1019,2003,9,Punjab,Moga,4092.0,489.87817,1.0416243,34.912353515625,23.270326614379883,29.091339111328125,-0.0922250698479729,51,-1.3280169301027545,36,-0.2757845899960824,163.21,1.0,3812.0,163.0
1019,2004,9,Punjab,Moga,4457.0,61.714573,-1.6346126,34.40189743041992,23.31686210632324,28.859378814697266,-0.6636756045446344,68,0.0,48,0.6633737435040897,163.8,0.9987804878048782,4092.0,164.0
